Index;GOÄ;Schlüssel;GOÄZiffer;Beschreibung;Punktzahl;Einfachfaktor;Einfachsatz;Regelhöchstfaktor;Regelhöchstsatz;Höchstfaktor;Höchstsatz;Ausschlussziffer;go;ziffer;analog
16;GOÄ 20:;20;z 20; Beratungsgespräch in Gruppen von 4 bis 12 Teilnehmern im Rahmen der Behandlung von chronischen Krankheiten, je Teilnehmer und Sitzung (Dauer mindestens 50 Minuten);120;1;6,99;2,3;16,09;3,5;24,48;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 4, GOÄ 15, GOÄ 30, GOÄ 33, GOÄ 34, GOÄ 435, GOÄ 847, GOÄ 862, GOÄ 864, GOÄ 871, GOÄ 887;GOAE;z 20;
17;GOÄ 21:;21;z 21; Eingehende humangenetische Beratung, je angefangene halbe Stunde und Sitzung;360;1;20,98;2,3;48,26;3,5;73,44;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 4, GOÄ 22, GOÄ 34, GOÄ 435;GOAE;z 21;
18;GOÄ 22:;22;z 22; Eingehende Beratung einer Schwangeren im Konfliktfall über die Erhaltung oder den Abbruch der Schwangerschaft – auch einschließlich Beratung über soziale Hilfen, gegebenenfalls auch einschließlich Beurteilung über das Vorliegen einer Indikation für einen nicht rechtswidrigen Schwangerschaftsabbruch –;300;1;17,49;2,3;40,22;3,5;61,2;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 4, GOÄ 21, GOÄ 34, GOÄ 435, GOÄ 804, GOÄ 806, GOÄ 807, GOÄ 808, GOÄ 812, GOÄ 817, GOÄ 835, GOÄ 849, GOÄ 861, GOÄ 862, GOÄ 864, GOÄ 870, GOÄ 871, GOÄ 886, GOÄ 887;GOAE;z 22;
19;GOÄ 23:;23;z 23; Erste Vorsorgeuntersuchung in der Schwangerschaft mit Bestimmung des Geburtstermins – einschließlich Erhebung der Anamnese und Anlegen des Mutterpasses sowie Beratung der Schwangeren über die Mutterschaftsvorsorge, einschließlich Hämoglobinbestimmung –;300;1;17,49;2,3;40,22;3,5;61,2;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 5, GOÄ 7, GOÄ 11, GOÄ 435, GOÄ 3550;GOAE;z 23;
20;GOÄ 24:;24;z 24; Untersuchung im Schwangerschaftsverlauf -einschließlich Beratung und Bewertung der Befunde, gegebenenfalls auch im Hinblick auf Schwangerschaftsrisiken –;200;1;11,66;2,3;26,81;3,5;40,8;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 5, GOÄ 7, GOÄ 11, GOÄ 435;GOAE;z 24;
21;GOÄ 25:;25;z 25; Neugeborenen-Erstuntersuchung – gegebenenfalls einschließlich Beratung der Bezugsperson(en) –;200;1;11,66;2,3;26,81;3,5;40,8;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 4, GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 435, GOÄ K1, GOÄ K2;GOAE;z 25;
22;GOÄ 26:;26;z 26; Untersuchung zur Früherkennung von Krankheiten bei einem Kind bis zum vollendeten 14. Lebensjahr (Erhebung der Anamnese, Feststellung der Körpermaße, Untersuchung von Nervensystem, Sinnesorganen, Skelettsystem, Haut, Brust-, Bauch- und Geschlechtsorganen) – gegebenenfalls einschließlich Beratung der Bezugsperson(en) –;450;1;26,23;2,3;60,33;3,5;91,8;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 4, GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 435, GOÄ 715, GOÄ 800, GOÄ 801, GOÄ K1, GOÄ K2;GOAE;z 26;
23;GOÄ 27:;27;z 27; Untersuchung einer Frau zur Früherkennung von Krebserkrankungen der Brust, des Genitales, des Rektums und der Haut – einschließlich Erhebung der Anamnese, Abstrichentnahme zur zytologischen Untersuchung, Untersuchung auf Blut im Stuhl und Urinuntersuchung auf Eiweiß, Zucker und Erythrozyten, einschließlich Beratung –;320;1;18,65;2,3;42,9;3,5;65,28;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 11, GOÄ 297, GOÄ 435, GOÄ 3500, GOÄ 3511, GOÄ 3650, GOÄ 3652;GOAE;z 27;
24;GOÄ 28:;28;z 28; Untersuchung eines Mannes zur Früherkennung von Krebserkrankungen des Rektums, der Prostata, des äußeren Genitales und der Haut – einschließlich Erhebung der Anamnese, Urinuntersuchung auf Eiweiß, Zucker und Erythrozyten sowie Untersuchung auf Blut im Stuhl, einschließlich Beratung –;280;1;16,32;2,3;37,54;3,5;57,12;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 11, GOÄ 435, GOÄ 3500, GOÄ 3511, GOÄ 3650, GOÄ 3652;GOAE;z 28;
25;GOÄ 29:;29;z 29; Gesundheitsuntersuchung zur Früherkennung von Krankheiten bei einem Erwachsenen – einschließlich Untersuchung zur Erhebung des vollständigen Status (Ganzkörperstatus), Erörterung des individuellen Risikoprofils und verhaltensmedizinischer orientierter Beratung –;440;1;25,65;2,3;58,99;3,5;89,76;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 11, GOÄ 27, GOÄ 33, GOÄ 34, GOÄ 435;GOAE;z 29;
26;GOÄ 30:;30;z 30; Erhebung der homöopathischen Erstanamnese mit einer Mindestdauer von einer Stunde nach biographischen und homöopathischindividuellen Gesichtspunkten mit schriftlicher Aufzeichnung zur Einleitung einer homöopathischen Behandlung -einschließlich homöopathischer Repertorisation und Gewichtung der charakteristischen psychischen, allgemeinen und lokalen Zeichen und Symptome des jeweiligen Krankheitsfalls, unter Berücksichtigung der Modalitäten, Alternanzen, Kausal- und Begleitsymptome, zur Auffindung des homöopathischen Einzelmittels, einschließlich Anwendung und Auswertung standardisierter Fragebogen –;900;1;52,46;2,3;120,65;3,5;183,6;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 4, GOÄ 20, GOÄ 31, GOÄ 34, GOÄ 435, GOÄ 804, GOÄ 806, GOÄ 807, GOÄ 808, GOÄ 812, GOÄ 817, GOÄ 835, GOÄ 849, GOÄ 861, GOÄ 862, GOÄ 863, GOÄ 864, GOÄ 870, GOÄ 871, GOÄ 886, GOÄ 887;GOAE;z 30;
27;GOÄ 31:;31;z 31; Homöopathische Folgeanamnese mit einer Mindestdauer von 30 Minuten unter laufender Behandlung nach den Regeln der Einzelmittelhomöopathie zur Beurteilung des Verlaufs und Feststellung des weiteren Vorgehens – einschließlich schriftlicher Aufzeichnungen –;450;1;26,23;2,3;60,33;3,5;91,8;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 4, GOÄ 30, GOÄ 34;GOAE;z 31;
28;GOÄ 32:;32;z 32; Untersuchung nach den §§ 32 bis 35 und 42 des Jugendarbeitsschutzgesetzes (Eingehende, das gewöhnliche Maß übersteigende Untersuchung – einschließlich einfacher Seh-, Hör- und Farbsinnprüfung -,  Urinuntersuchung,  schriftliche gutachtliche Äußerung Beratung des Jugendlichen auf Eiweiß, Zucker und Erythrozyten,  Mitteilung für die Personensorgeberechtigten,  Bescheinigung für den Arbeitgeber);400;1;23,31;2,3;53,62;3,5;81,6;Ausschlussziffern: GOÄ 1, GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 70, GOÄ 75, GOÄ 80, GOÄ 95, GOÄ 435, GOÄ 3511, GOÄ 3652;GOAE;z 32;
29;GOÄ 33:;33;z 33; Strukturierte Schulung einer Einzelperson mit einer Mindestdauer von 20 Minuten (bei Diabetes, Gestationsdiabetes oder Zustand nach Pankreatektomie) – einschließlich Evaluation zur Qualitätssicherung unter diabetologischen Gesichtspunkten zum Erlernen und Umsetzen des Behandlungsmanagements, einschließlich der Auswertung eines standardisierten Fragebogens –;300;1;17,49;2,3;40,22;3,5;61,2;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 15, GOÄ 20, GOÄ 34, GOÄ 435, GOÄ 847, GOÄ 862, GOÄ 864, GOÄ 871, GOÄ 887;GOAE;z 33;
30;GOÄ 34:;34;z 34; Erörterung (Dauer mindestens 20 Minuten) der Auswirkungen einer Krankheit auf die Lebensgestaltung in unmittelbarem Zusammenhang mit der Feststellung oder erheblichen Verschlimmerung einer nachhaltig lebensverändernden oder lebensbedrohenden Erkrankung – gegebenenfalls einschließlich Planung eines operativen Eingriffs und Abwägung seiner Konsequenzen und Risiken –, einschließlich Beratung – gegebenenfalls unter Einbeziehung von Bezugspersonen –;300;1;17,49;2,3;40,22;3,5;61,2;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 4, GOÄ 15, GOÄ 20, GOÄ 21, GOÄ 22, GOÄ 30, GOÄ 31, GOÄ 33, GOÄ 435, GOÄ 804, GOÄ 806, GOÄ 807, GOÄ 808, GOÄ 812, GOÄ 817, GOÄ 835, GOÄ 849, GOÄ 861, GOÄ 862, GOÄ 863, GOÄ 864, GOÄ 870, GOÄ 871, GOÄ 886, GOÄ 887;GOAE;z 34;
31;GOÄ 45:;45;z 45; Visite im Krankenhaus;70;1;4,08;2,3;9,38;3,5;14,28;Ausschlussziffern: GOÄ 1, GOÄ 2, GOÄ 3, GOÄ 4, GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 11, GOÄ 15, GOÄ 20, GOÄ 21, GOÄ 22, GOÄ 23, GOÄ 24, GOÄ 25, GOÄ 26, GOÄ 27, GOÄ 28, GOÄ 29, GOÄ 30, GOÄ 31, GOÄ 32, GOÄ 33, GOÄ 34, GOÄ 45, GOÄ 46, GOÄ 48, GOÄ 50, GOÄ 51, GOÄ 52, GOÄ 55, GOÄ 56, GOÄ 60, GOÄ 61, GOÄ 62, GOÄ 70, GOÄ 75, GOÄ 76, GOÄ 77, GOÄ 78, GOÄ 80, GOÄ 85, GOÄ 90, GOÄ 95, GOÄ 96, GOÄ 100, GOÄ 101, GOÄ 102, GOÄ 106, GOÄ 107, GOÄ 108, GOÄ 109, GOÄ A, GOÄ B, GOÄ C, GOÄ D;GOAE;z 45;
32;GOÄ 46:;46;z 46; Zweitvisite im Krankenhaus;50;1;2,91;2,3;6,7;3,5;10,2;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 4, GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 15, GOÄ 45, GOÄ 48, GOÄ 50, GOÄ 51, GOÄ 435, GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ F, GOÄ G, GOÄ H;GOAE;z 46;
33;GOÄ 48:;48;z 48; Besuch eines Patienten auf einer Pflegestation (z.B. in Alten- oder Pflegeheimen – bei regelmäßiger Tätigkeit des Arztes auf der Pflegestation zu vorher vereinbarten Zeiten –;120;1;6,99;2,3;16,09;3,5;24,48;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 45, GOÄ 46, GOÄ 50, GOÄ 51, GOÄ 52, GOÄ 61, GOÄ 435, GOÄ F, GOÄ H;GOAE;z 48;
34;GOÄ 50:;50;z 50; Besuch, einschließlich Beratung und symptombezogene Untersuchung;320;1;18,65;2,3;42,9;3,5;65,28;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 5, GOÄ 45, GOÄ 46, GOÄ 48, GOÄ 51, GOÄ 52, GOÄ 61, GOÄ 435, GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ K1;GOAE;z 50;
35;GOÄ 51:;51;z 51; Besuch eines weiteren Kranken in derselben häuslichen Gemeinschaft in unmittelbarem zeitlichen Zusammenhang mit der Leistung nach Nummer 50 – einschließlich Beratung und symptombezogener Untersuchung –;250;1;14,57;2,3;33,52;3,5;51;Ausschlussziffern: GOÄ 1, GOÄ 3, GOÄ 5, GOÄ 45, GOÄ 46, GOÄ 48, GOÄ 50, GOÄ 52, GOÄ 61, GOÄ 435, GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ K1;GOAE;z 51;
36;GOÄ 52:;52;z 52; Aufsuchen eines Patienten außerhalb der Praxisräume oder des Krankenhauses durch nichtärztliches Personal im Auftrag des niedergelassenen Arztes (z.B. zur Durchführung von kapillaren oder venösen Blutentnahmen, Wundbehandlungen, Verbandwechsel, Katheterwechsel);100;1;5,83;-;-;-;-;Ausschlussziffern: GOÄ 48, GOÄ 50, GOÄ 51, GOÄ 435, GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ F, GOÄ G, GOÄ H, GOÄ K1, GOÄ K2;GOAE;z 52;
37;GOÄ 55:;55;z 55; Begleitung eines Patienten durch den behandelnden Arzt zur unmittelbar notwendigen stationären Behandlung – gegebenenfalls einschließlich organisatorischer Vorbereitung der Krankenhausaufnahme –;500;1;29,14;2,3;67,03;3,5;102;Ausschlussziffern: GOÄ 3, GOÄ 56, GOÄ 60, GOÄ 61, GOÄ 435, GOÄ 833;GOAE;z 55;
38;GOÄ 56:;56;z 56; Verweilen, ohne Unterbrechung und ohne Erbringung anderer ärztlicher Leistungen -wegen Erkrankung erforderlich -, je angefangene halbe Stunde;180;1;10,49;1,8;18,89;2,5;26,23;Ausschlussziffern: GOÄ 3, GOÄ 55, GOÄ 61, GOÄ 435, GOÄ 448, GOÄ 449;GOAE;z 56;
39;GOÄ 60:;60;z 60; Konsiliarische Erörterung zwischen zwei oder mehr liquidationsberechtigten Ärzten, für jeden Arzt;120;1;6,99;2,3;16,09;3,5;24,48;Ausschlussziffern: GOÄ 3, GOÄ 55, GOÄ 61;GOAE;z 60;
40;GOÄ 61:;61;z 61; Beistand bei der ärztlichen Leistung eines anderen Arztes (Assistenz), je angefangene halbe Stunde;130;1;7,58;2,3;17,43;3,5;26,52;Ausschlussziffern:;GOAE;z 61;
41;GOÄ 62:;62;z 62; Zuziehung eines Assistenten bei operativen belegärztlichen Leistungen oder bei ambulanter Operation durch niedergelassene Ärzte, je angefangene halbe Stunde;150;1;8,74;2,3;20,11;3,5;30,6;Ausschlussziffern: GOÄ 61, GOÄ 435;GOAE;z 62;
42;GOÄ E:;E;z E; Zuschlag für dringend angeforderte und unverzüglich erfolgte Ausführung;160;1;9,33;-;-;-;-;Ausschlussziffern: GOÄ 45, GOÄ 46, GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ F, GOÄ G, GOÄ H, GOÄ K1;GOAE;z E;
43;GOÄ F:;F;z F; Zuschlag für in der Zeit von 20 bis 22 Uhr oder 6 bis 8 Uhr erbrachte Leistungen;260;1;15,15;-;-;-;-;Ausschlussziffern: GOÄ 45, GOÄ 46, GOÄ 48, GOÄ 52, GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ F, GOÄ G, GOÄ K1;GOAE;z F;
44;GOÄ G:;G;z G; Zuschlag für in der Zeit zwischen 22 und 6 Uhr erbrachte Leistungen;450;1;26,23;-;-;-;-;Ausschlussziffern: GOÄ 45, GOÄ 46, GOÄ 48, GOÄ 52, GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ E, GOÄ F, GOÄ K1;GOAE;z G;
45;GOÄ H:;H;z H; Zuschlag für an Samstagen, Sonn- oder Feiertagen erbrachte Leistungen;340;1;19,82;-;-;-;-;Ausschlussziffern: GOÄ 45, GOÄ 46, GOÄ 48, GOÄ 52, GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ E, GOÄ K1;GOAE;z H;
46;GOÄ J:;J;z J; Zuschlag zur Visite bei Vorhalten eines vom Belegarzt zu vergütenden ärztlichen Bereitschaftsdienstes, je Tag;80;1;4,66;-;-;-;-;Ausschlussziffern: GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ E, GOÄ K1;GOAE;z J;
47;GOÄ K2:;K2;z K2; Zuschlag zu den Leistungen nach Nummer 45, 46, 48, 50, 51, 55 oder 56 bei Kindern bis zum vollendeten 4. Lebensjahr;120;1;6,99;-;-;-;-;Ausschlussziffern: GOÄ 790, GOÄ 791, GOÄ 792, GOÄ 793, GOÄ A, GOÄ B, GOÄ C, GOÄ D, GOÄ K1;GOAE;z K2;
48;GOÄ 70:;70;z 70; Kurze Bescheinigung oder kurzes Zeugnis, Arbeitsunfähigkeitsbescheinigung;40;1;2,33;2,3;5,36;3,5;8,16;Ausschlussziffern: GOÄ 95, GOÄ 96, GOÄ 435;GOAE;z 70;
49;GOÄ 75:;75;z 75; Ausführlicher schriftlicher Krankheits- und Befundbericht (einschließlich Angaben zur Anamnese, zu dem(n) Befund(en), zur epikritischen Bewertung und gegebenenfalls zur Therapie);130;1;7,58;2,3;17,43;3,5;26,52;Ausschlussziffern: GOÄ 60, GOÄ 95, GOÄ 96, GOÄ 435;GOAE;z 75;
50;GOÄ 76:;76;z 76; Schriftlicher Diätplan, individuell für den einzelnen Patienten aufgestellt;70;1;4,08;2,3;9,38;3,5;14,28;Ausschlussziffern: GOÄ 3, GOÄ 95, GOÄ 96, GOÄ 435;GOAE;z 76;
51;GOÄ 77:;77;z 77; Schriftliche, individuelle Planung und Leitung einer Kur mit diätetischen, balneologischen und/oder klimatherapeutischen Maßnahmen unter Einbeziehung gesundheitserzieherischer Aspekte;150;1;8,74;2,3;20,11;3,5;30,6;Ausschlussziffern: GOÄ 3, GOÄ 95, GOÄ 96, GOÄ 435;GOAE;z 77;
52;GOÄ 78:;78;z 78; Behandlungsplan für die Chemotherapie und/oder schriftlicher Nachsorgeplan für einen tumorkranken Patienten, individuell für den einzelnen Patienten aufgestellt;180;1;10,49;2,3;24,13;3,5;36,72;Ausschlussziffern: GOÄ 3, GOÄ 95, GOÄ 96, GOÄ 435;GOAE;z 78;
53;GOÄ 80:;80;z 80; Schriftliche gutachtliche Äußerung;300;1;17,49;2,3;40,22;3,5;61,2;Ausschlussziffern: GOÄ 3, GOÄ 435;GOAE;z 80;
54;GOÄ 85:;85;z 85; Schriftliche gutachtliche Äußerung mit einem das gewöhnliche Maß übersteigenden Aufwand – gegebenenfalls mit wissenschaftlicher Begründung -, je angefangene Stunde Arbeitszeit;500;1;29,14;2,3;67,03;3,5;102;Ausschlussziffern: GOÄ 3, GOÄ 435;GOAE;z 85;
55;GOÄ 90:;90;z 90; Schriftliche Feststellung über das Vorliegen oder Nichtvorliegen einer Indikation für einen Schwangerschaftsabbruch;120;1;6,99;2,3;16,09;3,5;24,48;Ausschlussziffern: GOÄ 3, GOÄ 435;GOAE;z 90;
56;GOÄ 95:;95;z 95; Schreibgebühr, je angefangene DIN A4-Seite;60;1;3,5;-;-;-;-;Ausschlussziffern:;GOAE;z 95;
57;GOÄ 96:;96;z 96; Schreibgebühr, je Kopie;3;1;0,17;-;-;-;-;Ausschlussziffern:;GOAE;z 96;
58;GOÄ 100:;100;z 100; Untersuchung eines Toten und Ausstellung einer vorläufigen Todesbescheinigung gemäß landesrechtlicher Bestimmungen, gegebenenfalls einschließlich Aktenstudium und Einholung von Auskünften bei Angehörigen, vorbehandelnden Ärzten, Krankenhäusern und Pflegediensten (Dauer mindestens 20 Minuten), gegebenenfalls einschließlich Aufsuchen (vorläufige Leichenschau);1896;1;110,51;-;-;-;-;Ausschlussziffern: GOÄ 48, GOÄ 50, GOÄ 51, GOÄ 52, GOÄ 101;GOAE;z 100;
59;GOÄ 101:;101;z 101; Eingehende Untersuchung eines Toten und Ausstellung einer Todesbescheinigung, einschließlich Angaben zu Todesart und Todesursache gemäß landesrechtlicher Bestimmungen, gegebenenfalls einschließlich Aktenstudium und Einholung von Auskünften bei Angehörigen, vorbehandelnden Ärzten, Krankenhäusern und Pflegediensten (Dauer mindestens 40 Minuten), gegebenenfalls einschließlich Aufsuchen (eingehende Leichenschau);2844;1;165,77;-;-;-;-;Ausschlussziffern: GOÄ 48, GOÄ 50, GOÄ 51, GOÄ 52, GOÄ 100;GOAE;z 101;
60;GOÄ 102:;102;z 102; Zuschlag zu den Leistungen nach den Nummern 100 oder 101 bei einer Leiche mit einer dem Arzt oder der Ärztin unbekannten Identität und/oder besonderen Todesumständen (zusätzliche Dauer mindestens 10 Minuten);474;1;27,63;-;-;-;-;Ausschlussziffern:;GOAE;z 102;
